City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kansanshi,-12.0951,26.4273,16.39,99,100,1.41,ZM,1681348294
84,port hedland,-20.3167,118.5667,26.03,100,75,3.6,AU,1681348294
85,albany,42.6001,-73.9662,18.69,54,0,1.72,US,1681348090
86,vaini,-21.2,-175.2,31.09,70,40,7.2,TO,1681348295
87,kalmunai,7.4167,81.8167,26.47,83,11,0.46,LK,1681348295
88,castro,-24.7911,-50.0119,15.91,87,3,1.46,BR,1681348295
89,marsh harbour,26.5412,-77.0636,22.96,85,100,10.52,BS,1681348296
90,kruisfontein,-34.0033,24.7314,11.05,72,8,2.92,ZA,1681348296
91,ewa beach,21.3156,-158.0072,28.97,59,40,9.77,US,1681348297
92,gillette,44.2911,-105.5022,14.51,44,0,4.63,US,1681348297
93,pachperwa,27.5167,82.65,25.79,18,1,2.54,IN,1681348297
94,saint-philippe,-21.3585,55.7679,23.77,83,34,0.44,RE,1681348297
95,camacha,33.0833,-16.3333,15.68,72,20,3.6,PT,1681348298
96,east london,-33.0153,27.9116,20.03,60,100,4.06,ZA,1681348298
97,vardo,70.3705,31.1107,-1.01,74,12,6.69,NO,1681348150
98,staryy nadym,65.6118,72.6842,-25.63,98,39,4.58,RU,1681348298
99,kahului,20.8947,-156.47,28.01,59,40,9.26,US,1681348298
100,porosozero,62.7191,32.727,-7.06,92,11,3.9,RU,1681348299
101,katsuura,35.1333,140.3,15.0,50,57,5.26,JP,1681348299
102,west bay,19.3667,-81.4167,27.04,74,20,1.34,KY,1681348299
103,bakchar,57.0186,82.0711,1.97,83,100,4.34,RU,1681348299
104,grindavik,63.8424,-22.4338,2.26,80,0,4.12,IS,1681348299
105,grande prairie,55.1667,-118.8027,7.0,55,15,4.13,CA,1681348157
106,hornepayne,49.2138,-84.7705,5.86,98,32,2.6,CA,1681348300
107,cabo san lucas,22.8909,-109.9124,26.61,60,40,6.17,MX,1681348210
108,victoria,22.2855,114.1577,24.98,85,100,1.34,HK,1681348082
109,teknaf,20.8624,92.3058,26.04,60,1,1.97,BD,1681348300
110,clyde river,70.4692,-68.5914,-20.54,92,60,3.34,CA,1681348300
111,puerto el triunfo,13.2833,-88.55,26.7,74,58,3.53,SV,1681348301
112,yar-sale,66.8333,70.8333,-21.4,93,72,6.77,RU,1681348301
113,puerto ayora,-0.7393,-90.3518,28.08,85,43,1.34,EC,1681348301
114,alice springs,-23.7,133.8833,24.75,36,100,4.63,AU,1681348301
115,hell,63.4455,10.9033,7.95,66,40,2.57,NO,1681348301
116,ferkessedougou,9.6,-5.2,27.23,42,1,2.19,CI,1681348302
117,zhezkazgan,47.8043,67.7144,9.05,42,95,2.55,KZ,1681348302
118,labuhan,-6.8844,112.2051,26.94,81,100,2.57,ID,1681348302
119,yulara,-25.2406,130.9889,28.07,35,50,1.6,AU,1681348303
120,san patricio,28.017,-97.5169,22.4,67,3,4.27,US,1681348303
121,longhua,23.6137,114.1919,23.53,83,98,1.03,CN,1681348303
122,diego de almagro,-26.3667,-70.05,17.33,51,0,1.06,CL,1681348303
123,port elizabeth,-33.918,25.5701,15.73,61,61,2.96,ZA,1681348303
124,baglung,28.2719,83.5898,19.14,27,7,2.9,NP,1681348304
125,waddan,29.1614,16.139,17.05,16,0,3.35,LY,1681348304
126,nishihara,26.1842,127.7558,24.03,73,75,8.23,JP,1681348304
127,tabas,33.5959,56.9244,25.78,21,82,5.5,IR,1681348304
128,heiligenhafen,54.3667,10.9833,5.42,93,94,3.91,DE,1681348304
129,lyantonde,-0.4031,31.1572,17.71,90,100,1.4,UG,1681348305
